produto_filial_id;filial_id;produto_id;dt_inicio;valor;valor_cnpj;valor_compra;ranking
317391;8;288018;2019-11-21 14:14:28.85807;21.30;21.30;;1
317392;8;288019;2019-11-21 14:27:55.939715;68.20;68.20;;1
317497;8;288119;2019-12-11 09:28:41.603701;247.50;247.50;150.00;1
317510;8;288133;2021-02-23 17:14:00.952425;525.50;525.50;245.00;1
321407;96;292041;2021-02-09 16:34:04.308803;200.00;200.00;;1
322865;96;293499;2021-03-16 10:39:41.253713;120.00;120.00;;1
324387;8;295022;2021-04-15 18:04:07;72.39;72.39;32.90;1
327538;8;298173;2021-03-30 17:36:54.237312;150.00;150.00;;1
327808;8;298443;2021-04-24 18:25:19.627832;49.00;49.00;;1
329956;8;300591;2020-12-07 08:36:53.321473;290.00;290.00;;1
330732;8;301367;2021-04-15 15:29:57;79.90;;34.14;1
332142;8;302777;2021-02-26 16:06:40.862697;1199.00;1199.00;;1
332272;8;302907;2021-01-18 16:03:18.572459;50.00;50.00;;1
339640;96;310275;2021-04-01 12:34:49.032361;59.00;59.00;;1
